Ashmuji Khalsa,33.67129,75.07266
Mehatpur Basdehra,31.40712,76.34231
Talwara,33.1048,74.79283
Nowangabra,34.36209,73.8453
Raurkela Industrial Township,22.19994,84.86176
Bashohli,32.49972,75.8156
Ambala Sadar,30.33544,76.86265
Yol Cantonment,32.18446,76.38158
Bhore,32.66678,74.82916
Sunderbani,33.04841,74.48846
Wail,34.27074,74.80361
Seer Hamdan,33.7887,75.24305
Mattan,33.76302,75.20898
Mehmood Pora,33.68736,74.99523
Rehambal,32.89755,75.06831
Khore,32.8226,74.51129
Rakh Gadi Garh,32.66923,74.83887
Nagam,33.92637,74.79189
Arwani,33.78226,75.06739
Drug Mulla,34.48535,74.28709
Termi,23.76998,86.06233
Mahuda,23.72535,86.27694
Quimoh,33.72154,75.08562
R.S. Pora,32.60591,74.7334
Jammu Cantonment,32.70438,74.86114
Raipur Domana,32.79844,74.78265
Bhim Kanari,23.79779,86.19494
Sinduria,24.38999,83.60368
Sialgudri,23.76055,86.35161
Cherra,24.0124,85.75
Matigara,23.78106,86.17759
Narra,23.7817,86.10072
Kharkhari,23.77764,86.23925
Muraidih,23.80984,86.23871
Phulwartanr,23.77303,86.23207
Mahlidih,23.80814,86.35415
Karma Tanr,23.9186,86.71828
Mera,23.7556,86.79438
Jangalpur,23.82737,86.57928
Charhi,23.85384,85.44529
Sahnidih,23.7819,86.25065
Panchet,23.68805,86.75736
Hariharpur,23.88884,86.13065
Gunghasa,23.8618,86.17772
Karmatanr,23.82258,86.52411
Pondarkanali,23.77018,86.35164
Bandhgora,23.62139,86.14664
Rasikpur,24.28546,87.25379
Tanr Balidih,23.66853,86.05041
Panrra,23.80024,86.72275
Patra,24.96955,87.84232
Hasir,23.77346,85.81395
Satgawan,24.54804,84.28197
Egarkunr,23.75098,86.76943
Embu,-0.53987,37.45743
Gatundu,-1.05,36.9
Garsen,-2.26645,40.10975
Gongoni,-3.03668,40.13748
Githiga A,-1.08693,36.73405
Eldoret,0.52036,35.26993
Chuka,-0.33316,37.64587
Chogoria,-0.22954,37.62732
Busia,0.46005,34.11169
Bomet,-0.78129,35.34156
Butere,0.20694,34.49006
Kainuk,1.77442,35.50641
Suluktu,39.93652,69.56779
Mai,-0.98169,36.58642
Katran,39.84434,70.01474
